part_number,work_table_id,semi_auto_work_table_id,machine_id,units_per_hour,persons_1,persons_2,persons_3,active,is_migrated,description
189-10180,,,,204,,2,,1,0,STS H-M-4
189-10180,,,,174,,,3,1,0,STS H-M-4
189-10181,,,,0,,,,1,0,STS H-M-4-01-WI
189-10182,,,,166,1,,,1,0,STS H-M-5
189-10182,,,,166,,2,,1,0,STS H-M-5
189-10183,,,,129,,,3,1,0,STS H-MB-101N 10""
189-10184,,,,0,,,,1,0,STS H-MB-106-N
189-10185,,,,0,,,,1,0,STS H-MB-106-T
189-10186,,,,147,,,3,1,0,STS H-MB-201N 10"" LEAD
189-10188,,,,141,,,3,1,0,STS H-MB-201T 10"" LEAD
189-10189,,,,143,,,3,1,0,STS H-MB-206N
189-10190,,,,143,,,3,1,0,STS H-MB-206T
189-10191,,,,150,,,3,1,0,STS H-MB-301N 10"" LEAD
189-10194,,,,149,,,3,1,0,STS H-MB-301T 10"" LEAD
189-10196,,,,130,,,3,1,0,STS H-MB-306N
189-10197,,,,131,,,3,1,0,STS H-MB-306T
189-10198,,,,112,,,3,1,0,STS H-MB-401N 10""
189-10199,,,,123,,,3,1,0,STS H-MB-406N
189-10200,,,,0,,,,1,0,STS H-MB-406T
189-10201,,,,118,,,3,1,0,STS H-MB-501N 10"" LEAD
189-10203,,,,119,,,3,1,0,STS H-MB-506N
189-10204,,,,118,,,3,1,0,STS H-MB-506T
189-10206,,,,114,,,3,1,0,STS H-ML-1
189-10207,,,,115,,,3,1,0,STS H-ML-10
189-10208,,,,114,,,3,1,0,STS H-ML-10-3
189-10209,,,,114,,,3,1,0,STS H-ML-10-4
189-10210,,,,114,,,3,1,0,STS H-ML-10-6
189-10211,,,,119,,,3,1,0,STS H-ML-10-9
189-10213,,,,147,,,3,1,0,STS H-ML-11
189-10216,,,,164,,,3,1,0,STS H-ML-12
189-10218,,,,143,,,3,1,0,STS H-ML-13
189-10219,,,,0,,,,1,0,STS H-ML-13-01-WI
189-10222,,,,155,,1,,1,0,STS H-ML-14
189-10222,,,,146,,,2,1,0,STS H-ML-14
189-10223,,,,104,,,3,1,0,STS H-ML-15
189-10224,,,,138,,,3,1,0,STS H-ML-16
189-10225,,,,177,,,3,1,0,STS H-ML-17
189-10226,,,,128,,,3,1,0,STS H-ML-18
189-10227,,,,134,,,3,1,0,STS H-ML-19
189-10228,,,,155,,,3,1,0,STS H-ML-2
189-10229,,,,138,,,3,1,0,STS H-ML-20
189-10230,,,,0,,,,1,0,STS H-ML-2-94
189-10231,,,,131,,,3,1,0,STS H-ML-3
189-10232,,,,136,,,3,1,0,STS H-ML-3-0
189-10233,,,,0,,,,1,0,STS H-ML-3-9
189-10234,,,,0,,,,1,0,STS H-ML-3-94
189-10235,,,,105,,,3,1,0,STS H-ML-4
189-10236,,,,0,,,,1,0,STS H-ML-4-94
189-10237,,,,101,,,3,1,0,STS H-ML-5
189-10238,,,,139,,,3,1,0,STS H-ML-6
189-10240,,,,132,,,3,1,0,STS H-ML-7
189-10241,,,,0,,,,1,0,STS H-ML-7-0
189-10242,,,,0,,,,1,0,STS H-ML-7-2
189-10243,,,,129,,,3,1,0,STS H-ML-7-3
189-10244,,,,150,,,3,1,0,STS H-ML-7-4
189-10245,,,,161,,,3,1,0,STS H-ML-7-5
189-10246,,,,160,,,3,1,0,STS H-ML-7-6
189-10248,,,,161,,,3,1,0,STS H-ML-7-9
189-10250,,,,149,,,3,1,0,STS H-ML-7-91
189-10251,,,,144,,,3,1,0,STS H-ML-7-92
189-10252,,,,0,,,,1,0,STS H-ML-7-93
189-10253,,,,144,,,3,1,0,STS H-ML-7-94
189-10254,,,,0,,,,1,0,STS H-ML-7-95
189-10255,,,,161,,,3,1,0,STS H-ML-7-97
189-10256,,,,0,,,,1,0,STS H-ML-7-98
189-10257,,,,135,,,3,1,0,STS H-ML-8
189-10258,,,,143,,2,,1,0,STS H-ML-8-3
189-10258,,,,135,,,3,1,0,STS H-ML-8-3
189-10259,,,,134,,,3,1,0,STS H-ML-8-4
189-10260,,,,135,,,3,1,0,STS H-ML-8-5
189-10261,,,,134,,,3,1,0,STS H-ML-8-6
189-10262,,,,135,,,3,1,0,STS H-ML-8-9
189-10263,,,,0,,,,1,0,STS H-ML-8-91
189-10264,,,,0,,,,1,0,STS H-ML-8-92
189-10265,,,,135,,,3,1,0,STS H-ML-8-93
189-10266,,,,155,,,3,1,0,STS H-ML-8-94
189-10267,,,,134,,,3,1,0,STS H-ML-8-95
189-10269,,,,0,,,,1,0,STS H-ML-8-98
189-10270,,,,139,,2,,1,0,STS H-ML-9
189-10270,,,,105,,,3,1,0,STS H-ML-9
189-10271,,,,105,,,3,1,0,STS H-ML-9-5
189-10273,,,,105,,,3,1,0,STS H-ML-9-94
189-10274,,,,300,1,,,1,0,STS L-C-1
189-10274,,,,204,,2,,1,0,STS L-C-1
189-10276,,,,0,,,,1,0,STS L-C-1-10
189-10277,,,,195,1,,,1,0,STS L-C-112-01
189-10281,,,,0,,,,1,0,STS L-C-1-2
189-10282,,,,173,1,,,1,0,STS L-C-2
189-10282,,,,208,,2,,1,0,STS L-C-2
189-10283,,,,251,,2,,1,0,STS L-C-2-1
189-10284,,,,0,,,,1,0,STS L-C-2-10
189-10285,,,,0,,,,1,0,STS L-C-2-2
189-10286,,,,0,,,,1,0,STS L-C-249-6
189-10287,,,,0,,,,1,0,STS L-C-249-8
189-10289,,,,194,1,,,1,0,STS L-C-3
189-10289,,,,228,,2,,1,0,STS L-C-3
189-10290,,,,0,,,,1,0,STS L-C-3-10
189-10291,,,,0,,,,1,0,STS L-C-3-2
189-10292,,,,229,1,,,1,0,STS L-C-4
189-10292,,,,219,,2,,1,0,STS L-C-4
189-10293,,,,0,,,,1,0,STS L-C-4-10
189-10295,,,,375,1,,,1,0,STS L-C-5
189-10295,,,,204,,2,,1,0,STS L-C-5
189-10295,,,,179,,,3,1,0,STS L-C-5
189-10296,,,,0,,,,1,0,STS L-C-5.5-10
189-10297,,,,0,,,,1,0,STS L-C-5.5-2
189-10298,,,,0,,,,1,0,STS L-C-5-10
189-10299,,,,150,,2,,1,0,STS L-C-6
189-10300,,,,0,,,,1,0,STS L-C-6-10
189-10301,,,,116,,2,,1,0,STS L-C-7
189-10302,,,,0,,,,1,0,STS L-C-7-10
189-10310,,,,0,,,,1,0,STS L-CL-2-04
189-10312,,,,0,,,,1,0,STS L-CL-249-8B
189-10315,,,,112,,,3,1,0,STS L-CL-4
189-10316,,,,0,,,,1,0,STS L-CL-5
189-10318,,,,0,,,,1,0,STS L-CL-7
189-10319,,,,121,,,3,1,0,STS L-CL-8
189-10322,,,,0,,,,1,0,STS L-CL-8-5
189-10323,,,,0,,,,1,0,STS H-CK-04
189-10324,,,,0,,,,1,0,STS L-CL-181-1224-90/9
189-10325,,,,0,,,,1,0,STS H-ML-7-41
189-10326,,,,0,,,,1,0,STS H-ML-7-42
189-10327,,,,0,,,,1,0,STS H-ML-7-43
189-10330,,,,0,,,,1,0,STS H-I-2-04
189-10333,,,,0,,,,1,0,STS H-ML-4-5
189-10334,,,,105,,,3,1,0,STS H-ML-10-5
189-10339,,,,0,,,,1,0,STS L-CL-4-5
189-10340,,,,0,,,,1,0,STS L-CL-10-5
189-10341,,,,0,,,,1,0,STS L-CL-13-5
189-10342,,,,0,,,,1,0,STS L-CL-14-5
189-10343,,,,0,,,,1,0,STS L-CL-15-5
189-10344,,,,0,,,,1,0,STS L-CL-17-5
189-10347,,,,0,,,,1,0,STS H-CK-03-4
189-10350,,,,0,,,,1,0,STS H-HCL-8
189-10351,,,,81,,,3,1,0,STS L-CL-6-5-01
189-10358,,,,0,,,,1,0,STS H-MB-106-S
189-10359,,,,0,,,,1,0,STS H-MB-206-S
189-10360,,,,0,,,,1,0,STS H-MB-306-S
189-10368,,,,0,,,,1,0,STS H-CL-181-2226-90/9
189-10370,,,,129,,,3,1,0,STS H-MB-101T 10"" LEAD
189-10375,,,,0,,,,1,0,STS L-C-5.5
189-10376,,,,0,,,,1,0,STS H-CL-181-1220-90/9
189-10379,,,,324,,2,,1,0,STS H-C-11
189-10383,,,,0,,,,1,0,STS H-C-2-01
189-10387,,,,0,,,,1,0,STS H-C-129-05
189-10388,,,,329,,2,,1,0,STS H-C-22
189-10403,,,,0,,,,1,0,STS H-C-05
189-10408,,,,69,,,3,1,0,STS H-CB-612T
189-10410,,,,0,,,,1,0,STS H-IL-8951-12
189-10412,,,,0,,,,1,0,STS H-ML-5-94
189-10413,,,,0,,,,1,0,STS H-CL-181-1224-90/9-A
189-10416,,,,0,,,,1,0,STS H-IL-350-C61
189-10422,,,,0,,,,1,0,STS H-C5-7-A
189-10427,,,,0,,,,1,0,STS H-CL-13-03
189-10428,,,,0,,,,1,0,STS L-CB-713T
189-10433,,,,0,,,,1,0,STS L-CB-413T
189-10434,,,,0,,,,1,0,STS H-CL-181-1222-90/9 APART
189-10435,,,,0,,,,1,0,STS H-IB-550-B7B
189-10436,,,,112,,,3,1,0,STS H-MB-401T
189-10437,,,,135,,,3,1,0,STS H-ML-7-90-02
189-10438,,,,134,,,3,1,0,STS H-ML-7-93-02
189-10439,,,,0,,,,1,0,STS H-ML-7-3-02
189-10440,,,,0,,,,1,0,STS H-ML-7-4-02
189-10441,,,,0,,,,1,0,STS H-ML-7-5-02
189-10442,,,,0,,,,1,0,STS H-ML-7-6-02
189-10443,,,,0,,,,1,0,STS H-ML-7-9-02
189-10444,,,,0,,,,1,0,STS H-ML-7-92-02
189-10445,,,,0,,,,1,0,STS H-ML-8-3-02
189-10446,,,,0,,,,1,0,STS H-ML-8-4-02
189-10447,,,,0,,,,1,0,STS H-ML-8-5-02
189-10448,,,,0,,,,1,0,STS H-ML-8-6-02
189-10449,,,,0,,,,1,0,STS H-ML-8-9-02
189-10450,,,,101,,,3,1,0,STS H-ML-8-90-02
189-10451,,,,0,,,,1,0,STS TH-C-1-85
189-10452,,,,151,,2,,1,0,STS TH-C-2-85
189-10453,,,,96,,2,,1,0,STS TH-C-3-85
189-10454,,,,0,,,,1,0,STS TH-C-4-85
189-10455,,,,0,,,,1,0,STS TH-C-5-85
189-10456,,,,0,,,,1,0,STS TH-CL-6-85
189-10457,,,,0,,,,1,0,STS TH-CL-7-85
189-10458,,,,0,,,,1,0,STS TH-CL-8-85
189-10459,,,,84,,,3,1,0,STS TH-CL-9-85
189-10460,,,,0,,,,1,0,STS TH-CL-10-85
189-10461,,,,0,,,,1,0,STS TH-CB-306N-85
189-10462,,,,0,,,,1,0,STS TH-CB-406N-85
189-10463,,,,0,,,,1,0,STS TH-CB-506N-85
189-10464,,,,0,,,,1,0,STS TH-CB-106N-85
189-10465,,,,99,,,3,1,0,STS TH-CB-206N-85
189-10466,,,,0,,,,1,0,STS TH-CR-436-41
189-10467,,,,0,,,,1,0,STS TH-CR-436-42
189-10468,,,,117,,2,,1,0,STS TH-CR-436-43
189-10469,,,,0,,,,1,0,STS TH-CR-436-58
189-10470,,,,0,,,,1,0,STS TH-CR-150-0168A
189-10471,,,,0,,,,1,0,STS TH-CR-150-0169A
189-10472,,,,0,,,,1,0,STS TH-CR-150-0170A
189-10473,,,,0,,,,1,0,STS TH-CR-150-0174A
189-10474,,,,0,,,,1,0,STS TH-CR-150-0175A
189-10475,,,,0,,,,1,0,STS TH-CR-150-0176A
189-10476,,,,0,,,,1,0,STS TH-CR-150-0177A
189-10478,,,,0,,,,1,0,STS TH-CR-150-0179A
189-10479,,,,0,,,,1,0,STS TH-CR-150-0180A
189-10480,,,,0,,,,1,0,STS TH-CR-150-0181A
189-10481,,,,0,,,,1,0,STS H-C-141-0171
189-10483,,,,0,,,,1,0,STS H-C-128-29TP
189-10485,,,,0,,,,1,0,STS TH-CR-436-0125
189-10486,,,,0,,,,1,0,STS TH-CR-436-0126
189-10487,,,,0,,,,1,0,STS TH-CR-436-0127
189-10490,,,,0,,,,1,0,STS H-CL-181-1224-6/9-A
189-10491,,,,236,1,,,1,0,STS H-CR-436-36 CRIMP
189-10491,,,,224,,2,,1,0,STS H-CR-436-36 CRIMP
189-10492,,,,220,1,,,1,0,STS H-CR-436-37 CRIMP
189-10492,,,,224,,2,,1,0,STS H-CR-436-37 CRIMP
189-10493,,,,189,1,,,1,0,STS H-CR-436-38 CRIMP
189-10493,,,,189,,2,,1,0,STS H-CR-436-38 CRIMP
189-10494,,,,0,,,,1,0,STS H-CL-181-2220-90/9-18
189-10495,,,,0,,,,1,0,STS TH-CL-181-1222-90/9
189-10496,,,,0,,,,1,0,STS TH-CL-181-2222-90/9
189-10497,,,,0,,,,1,0,STS H-C-114-C
189-10498,,,,118,,,3,1,0,STS H-MB-501T
189-10499,,,,0,,,,1,0,STS H-ML-12-90-S2
189-10500,,,,0,,,,1,0,STS H-IL-8951-11
189-10501,,,,0,,,,1,0,STS H-CR-436-41
189-10502,,,,0,,,,1,0,STS C-C-52
189-10503,,,,0,,,,1,0,STS TH-CR-436-44
189-10504,,,,0,,,,1,0,STS TH-CR-436-36 CRIMP
189-10505,,,,0,,,,1,0,STS TH-CR-436-37 CRIMP
189-10506,,,,0,,,,1,0,STS TH-CR-436-38 CRIMP
189-10507,,,,0,,,,1,0,STS H-ML-7-9-2R
189-10508,,,,0,,,,1,0,STS H-HCL-7
189-10509,,,,0,,,,1,0,STS H-HMB-306N
189-10510,,,,128,,,3,1,0,STS H-HML-6-95
189-10511,,,,0,,,,1,0,STS H-ML-8-0
189-10512,,,,0,,,,1,0,STS H-HML-3
189-10513,,,,115,,,3,1,0,STS H-HML-9-95
189-10514,,,,154,,,3,1,0,STS H-HML-7-95
189-10515,,,,0,,,,1,0,STS H-ML-8-S
189-10516,,,,0,,,,1,0,STS TH-CR-436-57
189-10517,,,,0,,,,1,0,STS TH-CR-150-0198
189-10518,,,,0,,,,1,0,STS TH-CR-436-59
189-10519,,,,136,,,3,1,0,STS H-ML-3-5
189-10520,,,,0,,,,1,0,STS TH-CR-436-0128
189-10521,,,,0,,,,1,0,STS H-HMB-301N
189-10522,,,,131,,,3,1,0,STS H-HML-8-95
189-10523,,,,0,,,,1,0,STS E-C-1-2
189-10524,,,,136,,2,,1,0,STS E-C4-1
189-10525,,,,184,,2,,1,0,STS E-C4-2
189-10526,,,,144,,2,,1,0,STS E-C4-3
189-10527,,,,0,,,,1,0,STS E-C4-4
189-10527,,,,0,,,,1,0,STS E-C4-4
189-10528,,,,144,,2,,1,0,STS E-C4-5
189-10530,,,,230,,2,,1,0,STS E-C-249-8
189-10531,,,,0,,,,1,0,STS H-ML-2-5
189-10532,,,,0,,,,1,0,STS H-IL-250-A51
189-10533,,,,0,,,,1,0,STS VH-CR-436-36 CRIMP
189-10534,,,,0,,,,1,0,STS VH-CR-436-37 CRIMP
189-10535,,,,0,,,,1,0,STS VH-CR-436-38 CRIMP
189-10536,,,,200,,2,,1,0,STS H-M-1-05
189-10537,,,,161,,2,,1,0,STS H-M-2-05
189-10538,,,,154,,2,,1,0,STS H-M-3-05
189-10539,,,,171,,2,,1,0,STS H-M-4-05
189-10540,,,,0,,,,1,0,STS H-M-5-05
189-10541,,,,0,,,,1,0,STS H-ML-12-9
189-10542,,,,81,,,3,1,0,STS L-CL-5.5-02
189-10543,,,,105,,,3,1,0,STS H-ML-5-5
189-10544,,,,121,,,3,1,0,STS H-BML-124-10
189-10545,,,,124,,,3,1,0,STS H-BML-324-10
189-10546,,,,93,,,3,1,0,STS H-BML-B424-10
189-10547,,,,112,,,3,1,0,STS L-CL-5-02
189-10548,,,,0,,,,1,0,STS H-HML-7-90
189-10549,,,,0,,,,1,0,STS H-HML-8-90
189-10550,,,,104,,,3,1,0,STS H-HML-10-95
189-10551,,,,0,,,,1,0,STS H-CL-181-3220-90/9-18
189-10552,,,,0,,,,1,0,STS H-ML-5-90
189-10553,,,,0,,,,1,0,STS H-IL-250-A52
189-10554,,,,0,,,,1,0,STS H-IL-250-A56
189-10555,,,,0,,,,1,0,STS H-CL-7-12-5
189-10556,,,,0,,,,1,0,STS H-M-1-03
189-10557,,,,0,,,,1,0,STS H-IL-250-A57
189-10558,,,,0,,,,1,0,STS L-CL-9-5
189-10559,,,,110,,,3,1,0,STS H-BML-122-10
189-10560,,,,0,,,,1,0,STS H-ML-10-95
189-10561,,,,116,,,3,1,0,STS H-BML-224-10
189-10562,,,,113,,,3,1,0,STS H-BML-B324-10
189-10563,,,,0,,,,1,0,STS H-IL-350-A66
189-10564,,,,0,,,,1,0,STS H-HMB-201N
189-10565,,,,0,,,,1,0,STS L-CL-6
189-10566,,,,0,,,,1,0,STS H-HMB-306N-01
189-10567,,,,0,,,,1,0,STS H-HMB-501N
189-10568,,,,0,,,,1,0,STS H-ML-6-5
189-10569,,,,135,,,3,1,0,STS H-HCB-106N-96
189-10570,,,,143,,,3,1,0,STS H-HCB-206N-96
189-10571,,,,195,,2,,1,0,STS H-HCB-306N-96
189-10571,,,,131,,,3,1,0,STS H-HCB-306N-96
189-10572,,,,0,,,,1,0,STS H-IL-250-A55
189-10573,,,,0,,,,1,0,STS E-CL-249-8B
189-10574,,,,125,,2,,1,0,STS H-HML-18-90
189-10574,,,,130,,,3,1,0,STS H-HML-18-90
189-10575,,,,245,,2,,1,0,STS H-HC-2-96
189-10576,,,,133,,,3,1,0,STS H-BML-B224-10
189-10577,,,,0,,,,1,0,STS H-HMB-406N-01
189-10578,,,,127,,,3,1,0,STS H-BML-B124-10
189-10579,,,,0,,,,1,0,STS H-HMB-106N-01
189-10580,,,,0,,,,1,0,STS H-HMB-206N-01
189-10581,,,,0,,,,1,0,STS H-HMB-506N-01
189-10582,,,,161,,,3,1,0,STS H-HCL-7-96
189-10583,,,,135,,,3,1,0,STS H-HCL-8-96
189-10584,,,,0,,,,1,0,STS H-IL-350-A67
189-10585,,,,0,,,,1,0,STS H-CL-181-2224-6/9
189-10586,,,,119,,,3,1,0,STS H-HCB-506N-96
189-10587,,,,0,,,,1,0,STS L-CL-3-02
189-10588,,,,0,,,,1,0,STS H-HCL-6-96
189-10589,,,,0,,,,1,0,STS H-HCB-406N-96
189-10590,,,,0,,,,1,0,STS H-HMB-106N-A
189-10591,,,,0,,,,1,0,STS H-HMB-206N-A
189-10592,,,,131,,,3,1,0,STS H-MB-306N-A
189-10593,,,,115,,,3,1,0,STS H-MB-406N-A
189-10594,,,,119,,,,1,0,STS H-HMB-506N-A
189-10596,,,,139,,,,1,0,STS H-HMB-206N-A
189-10597,,,,0,,,,1,0,STS H-HMB-306N-A
189-10598,,,,0,,,,1,0,STS H-HMB-406N-A
189-10600,,,,0,,,,1,0,STS H-HCL-10-96
189-10601,,,,119,,,3,1,0,STS H-MB-1
189-10602,,,,119,,,3,1,0,STS H-MB-2
189-10603,,,,156,,,3,1,0,STS H-MB-3
189-10604,,,,122,,,3,1,0,STS H-MB-4
189-10605,,,,118,,,3,1,0,STS H-MB-5
189-10606,,,,108,,,3,1,0,STS H-MB-6
189-10607,,,,108,,,3,1,0,STS H-MB-7
189-10608,,,,123,,,3,1,0,STS H-MB-8
189-10609,,,,122,,,3,1,0,STS H-MB-9
189-10610,,,,132,,2,,1,0,STS H-MB-10
189-10610,,,,119,,,3,1,0,STS H-MB-10
189-10611,,,,0,,,,1,0,STS H-MB-16
189-10612,,,,0,,,,1,0,STS H-MB-17
189-10613,,,,0,,,,1,0,STS H-MB-18
189-10615,,,,0,,,,1,0,STS H-MB-20
189-10616,,,,0,,,,1,0,STS H-HMB-6
189-10617,,,,142,,,3,1,0,STS H-HMB-7
189-10618,,,,122,,,3,1,0,STS H-HMB-8
189-10619,,,,0,,,,1,0,STS H-HMB-9
189-10620,,,,0,,,,1,0,STS H-HMB-10
189-10622,,,,0,,,,1,0,STS H-HMB-17
189-10623,,,,0,,,,1,0,STS H-HMB-18
189-10624,,,,0,,,,1,0,STS H-HMB-19
189-10625,,,,0,,,,1,0,STS H-HMB-20
189-10626,,,,161,,,3,1,0,STS H-ML-17-9
189-10627,,,,0,,,,1,0,STS H-ML-18-9
189-10628,,,,113,,,3,1,0,STS H-BML-322-10
189-10629,,,,396,1,,,1,0,STS H-C-2-2
189-10629,,,,328,,2,,1,0,STS H-C-2-2
189-10630,,,,272,,2,,1,0,STS H-C-075
189-10631,,,,0,,,,1,0,STS H-BML-B524-10
189-10632,,,,123,,,3,1,0,STS H-BML-424-10
189-10633,,,,0,,,,1,0,STS H-ML-7-97-01
189-10634,,,,155,,,3,1,0,STS H-ML-8-93-01
189-10635,,,,120,,2,,1,0,STS H-HC-2-0-H
189-10636,,,,69,,,3,1,0,STS H-CB-612N
189-10637,,,,93,,2,,1,0,STS H-HC-001
189-10638,,,,228,,2,,1,0,STS H-HC-3-96
189-10639,,,,0,,,,1,0,STS H-BML-B324-10-A
189-10642,,,,0,,,,1,0,STS H-HMB-3
189-10647,,,,0,,,,1,0,STS H-HMB-13
189-10652,,,,0,,,,1,0,STS H-MB-13
189-10658,,,,0,,,,1,0,STS H-BML-B224-10-A
189-10659,,,,149,,2,,1,0,STS H-HC-1-96
189-10660,,,,0,,,,1,0,STS H-ML-17-9-M
189-10662,,,,0,,,,1,0,H-200-181-3222-90/9
189-10663,,,,0,,,,1,0,STS H-ML-18-9-M
