part_id,sample_price,workstation_type,effective_date,active,comments,created_at,updated_at
1,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
2,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
3,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
4,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
5,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
6,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
7,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
8,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
9,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
10,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
11,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
12,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
13,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
14,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
15,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
16,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
17,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
18,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
19,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
20,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
21,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
22,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
23,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
24,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
25,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
26,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
27,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
28,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
29,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
30,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
31,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
32,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
33,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
34,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
34,0.5,table',"2026-04-01",1,,"2026-04-09 20:05",""
