"id","part_id","sample_price","workstation_type","effective_date","active","comments","created_at","updated_at"
"","1","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","2","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","3","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","4","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","5","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","6","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","7","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","8","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","9","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","10","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","11","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","12","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","13","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","14","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","15","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","16","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","17","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","18","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","19","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","20","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","21","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","22","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","23","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","24","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","25","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","26","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","27","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","28","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","29","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","30","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","31","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","32","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","33","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","34","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","35","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","36","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","37","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","38","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","39","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","40","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","41","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","42","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","43","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","44","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","45","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","46","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","47","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","48","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","49","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","50","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","51","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","52","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","53","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","54","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","55","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","56","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","57","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","58","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","59","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","60","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","61","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","62","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","63","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","64","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","65","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","66","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","67","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","68","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
"","69","0.5","table","2026-04-01","1",NULL,"2026-04-09 20:05:00",NULL
