part_id,Temporal,Temporal 2,work_table_id,semi_auto_work_table_id,machine_id,units_per_hour,persons_1,persons_2,persons_3,active,is_migrated,description
OBLIGATORIO - ID de la parte en tabla parts,Descripcion,Descripcion sin STS,OPCIONAL - ID de mesa manual en tabla tables (dejar vacio si no aplica) - Solo uno de los tres IDs debe estar poblado,OPCIONAL - ID de mesa semi-automatica en tabla semi__automatics (nota: doble guion bajo en nombre de tabla) (dejar vacio si no aplica),OPCIONAL - ID de maquina en tabla machines (dejar vacio si no aplica),OBLIGATORIO - Entero >= 1 - Unidades producidas por hora,OPCIONAL - Numero de personas en configuracion 1 (ej: 1),OPCIONAL - Numero de personas en configuracion 2 (ej: 2) - dejar vacio si no aplica,OPCIONAL - Numero de personas en configuracion 3 (ej: 3) - dejar vacio si no aplica,OPCIONAL - 1=activo 0=inactivo - Default: 1,OPCIONAL - 0=importacion masiva legacy 1=usa standard_configurations - Default: 0 para importacion masiva,OPCIONAL - Descripcion o referencia del standard
189-10473,STS TH-CR-150-0174A,TH-CR-150-0174A,,,,Pend,,,,1,0,
189-10474,STS TH-CR-150-0175A,TH-CR-150-0175A,,,,Pend,,,,1,0,
189-10475,STS TH-CR-150-0176A,TH-CR-150-0176A,,,,Pend,,,,1,0,
189-10476,STS TH-CR-150-0177A,TH-CR-150-0177A,,,,Pend,,,,1,0,
189-10478,STS TH-CR-150-0179A,TH-CR-150-0179A,,,,Pend,,,,1,0,
189-10479,STS TH-CR-150-0180A,TH-CR-150-0180A,,,,Pend,,,,1,0,
189-10480,STS TH-CR-150-0181A,TH-CR-150-0181A,,,,Pend,,,,1,0,
189-10481,STS H-C-141-0171,H-C-141-0171,,,,Pend,,,,1,0,
189-10483,STS H-C-128-29TP,H-C-128-29TP,,,,Pend,,,,1,0,
189-10485,STS TH-CR-436-0125,TH-CR-436-0125,,,,Pend,,,,1,0,
189-10486,STS TH-CR-436-0126,TH-CR-436-0126,,,,Pend,,,,1,0,
189-10487,STS TH-CR-436-0127,TH-CR-436-0127,,,,Pend,,,,1,0,
189-10490,STS H-CL-181-1224-6/9-A,H-CL-181-1224-6/9-A,,,,Pend,,,,1,0,
189-10491,STS H-CR-436-36 CRIMP,H-CR-436-36 CRIMP,,,,236,1,,,1,0,
189-10491,STS H-CR-436-36 CRIMP,H-CR-436-36 CRIMP,,,,224,,2,,1,0,
189-10492,STS H-CR-436-37 CRIMP,H-CR-436-37 CRIMP,,,,220,1,,,1,0,
189-10492,STS H-CR-436-37 CRIMP,H-CR-436-37 CRIMP,,,,224,,2,,1,0,
189-10493,STS H-CR-436-38 CRIMP,H-CR-436-38 CRIMP,,,,189,1,,,1,0,
189-10493,STS H-CR-436-38 CRIMP,H-CR-436-38 CRIMP,,,,189,,2,,1,0,
189-10494,STS H-CL-181-2220-90/9-18,H-CL-181-2220-90/9-18,,,,Pend,,,,1,0,
189-10495,STS TH-CL-181-1222-90/9,TH-CL-181-1222-90/9,,,,Pend,,,,1,0,
189-10496,STS TH-CL-181-2222-90/9,TH-CL-181-2222-90/9,,,,Pend,,,,1,0,
189-10497,STS H-C-114-C,H-C-114-C,,,,Pend,,,,1,0,
189-10498,STS H-MB-501T,H-MB-501T,,,,118,,,3,1,0,
189-10499,STS H-ML-12-90-S2,H-ML-12-90-S2,,,,Pend,,,,1,0,
189-10500,STS H-IL-8951-11,H-IL-8951-11,,,,Pend,,,,1,0,
189-10501,STS H-CR-436-41,H-CR-436-41,,,,Pend,,,,1,0,
189-10502,STS C-C-52,C-C-52,,,,Pend,,,,1,0,
189-10503,STS TH-CR-436-44,TH-CR-436-44,,,,Pend,,,,1,0,
189-10504,STS TH-CR-436-36 CRIMP,TH-CR-436-36 CRIMP,,,,Pend,,,,1,0,
189-10505,STS TH-CR-436-37 CRIMP,TH-CR-436-37 CRIMP,,,,Pend,,,,1,0,
189-10506,STS TH-CR-436-38 CRIMP,TH-CR-436-38 CRIMP,,,,Pend,,,,1,0,
189-10507,STS H-ML-7-9-2R,H-ML-7-9-2R,,,,Pend,,,,1,0,
189-10508,STS H-HCL-7,H-HCL-7,,,,Pend,,,,1,0,
189-10509,STS H-HMB-306N,H-HMB-306N,,,,Pend,,,,1,0,
189-10510,STS H-HML-6-95,H-HML-6-95,,,,128,,,3,1,0,
189-10511,STS H-ML-8-0,H-ML-8-0,,,,Pend,,,,1,0,
189-10512,STS H-HML-3,H-HML-3,,,,Pend,,,,1,0,
189-10513,STS H-HML-9-95,H-HML-9-95,,,,115,,,3,1,0,
189-10514,STS H-HML-7-95,H-HML-7-95,,,,154,,,3,1,0,
189-10515,STS H-ML-8-S,H-ML-8-S,,,,Pend,,,,1,0,
189-10516,STS TH-CR-436-57,TH-CR-436-57,,,,Pend,,,,1,0,
189-10517,STS TH-CR-150-0198,TH-CR-150-0198,,,,Pend,,,,1,0,
189-10518,STS TH-CR-436-59,TH-CR-436-59,,,,Pend,,,,1,0,
189-10519,STS H-ML-3-5,H-ML-3-5,,,,136,,,3,1,0,
189-10520,STS TH-CR-436-0128,TH-CR-436-0128,,,,Pend,,,,1,0,
189-10521,STS H-HMB-301N,H-HMB-301N,,,,Pend,,,,1,0,
189-10522,STS H-HML-8-95,H-HML-8-95,,,,131,,,3,1,0,
189-10523,STS E-C-1-2,E-C-1-2,,,,Pend,,,,1,0,
189-10524,STS E-C4-1,E-C4-1,,,,136,,2, ,1,0,
189-10525,STS E-C4-2,E-C4-2,,,,184,,2,,1,0,
189-10526,STS E-C4-3,E-C4-3,,,,144,,2, ,1,0,
189-10527,STS E-C4-4,E-C4-4,,,,Pend,,,,1,0,
189-10527,STS E-C4-4,E-C4-4,,,,Pend,,,,1,0,
189-10528,STS E-C4-5,E-C4-5,,,,144,,2,,1,0,
189-10530,STS E-C-249-8,E-C-249-8,,,,230,,2, ,1,0,
189-10531,STS H-ML-2-5,H-ML-2-5,,,,Pend,,,,1,0,
189-10532,STS H-IL-250-A51,H-IL-250-A51,,,,Pend,,,,1,0,
189-10533,STS VH-CR-436-36 CRIMP,VH-CR-436-36 CRIMP,,,,Pend,,,,1,0,
189-10534,STS VH-CR-436-37 CRIMP,VH-CR-436-37 CRIMP,,,,Pend,,,,1,0,
189-10535,STS VH-CR-436-38 CRIMP,VH-CR-436-38 CRIMP,,,,Pend,,,,1,0,
189-10536,STS H-M-1-05,H-M-1-05,,,,200,,2,,1,0,
189-10537,STS H-M-2-05,H-M-2-05,,,,161,,2,,1,0,
189-10538,STS H-M-3-05,H-M-3-05,,,,154,,2,,1,0,
189-10539,STS H-M-4-05,H-M-4-05,,,,171,,2,,1,0,
189-10540,STS H-M-5-05,H-M-5-05,,,,Pend,,,,1,0,
189-10541,STS H-ML-12-9,H-ML-12-9,,,,Pend,,,,1,0,
189-10542,STS L-CL-5.5-02,L-CL-5.5-02,,,,81,,,3,1,0,
189-10543,STS H-ML-5-5,H-ML-5-5,,,,105,,,3,1,0,
189-10544,STS H-BML-124-10,H-BML-124-10,,,,121,,,3,1,0,
189-10545,STS H-BML-324-10,H-BML-324-10,,,,124,,,3,1,0,
189-10546,STS H-BML-B424-10,H-BML-B424-10,,,,93,,,3,1,0,
189-10547,STS L-CL-5-02,L-CL-5-02,,,,112,,,3,1,0,
189-10548,STS H-HML-7-90,H-HML-7-90,,,,Pend,,,,1,0,
189-10549,STS H-HML-8-90,H-HML-8-90,,,,Pend,,,,1,0,
189-10550,STS H-HML-10-95,H-HML-10-95,,,,104,,,3,1,0,
189-10551,STS H-CL-181-3220-90/9-18,H-CL-181-3220-90/9-18,,,,Pend,,,,1,0,
189-10552,STS H-ML-5-90,H-ML-5-90,,,,Pend,,,,1,0,
189-10553,STS H-IL-250-A52,H-IL-250-A52,,,,Pend,,,,1,0,
189-10554,STS H-IL-250-A56,H-IL-250-A56,,,,Pend,,,,1,0,
189-10555,STS H-CL-7-12-5,H-CL-7-12-5,,,,Pend,,,,1,0,
189-10556,STS H-M-1-03,H-M-1-03,,,,Pend,,,,1,0,
189-10557,STS H-IL-250-A57,H-IL-250-A57,,,,Pend,,,,1,0,
189-10558,STS L-CL-9-5,L-CL-9-5,,,,Pend,,,,1,0,
189-10559,STS H-BML-122-10,H-BML-122-10,,,,110,,,3,1,0,
189-10560,STS H-ML-10-95,H-ML-10-95,,,,Pend,,,,1,0,
189-10561,STS H-BML-224-10,H-BML-224-10,,,,116,,,3,1,0,
189-10562,STS H-BML-B324-10,H-BML-B324-10,,,,113,,,3,1,0,
189-10563,STS H-IL-350-A66,H-IL-350-A66,,,,Pend,,,,1,0,
189-10564,STS H-HMB-201N,H-HMB-201N,,,,Pend,,,,1,0,
189-10565,STS L-CL-6,L-CL-6,,,,Pend,,,,1,0,
189-10566,STS H-HMB-306N-01,H-HMB-306N-01,,,,Pend,,,,1,0,
189-10567,STS H-HMB-501N,H-HMB-501N,,,,Pend,,,,1,0,
189-10568,STS H-ML-6-5,H-ML-6-5,,,,Pend,,,,1,0,
189-10569,STS H-HCB-106N-96,H-HCB-106N-96,,,,135,,,3,1,0,
189-10570,STS H-HCB-206N-96,H-HCB-206N-96,,,,143,,,3,1,0,
189-10571,STS H-HCB-306N-96,H-HCB-306N-96,,,,195,,2,,1,0,
189-10571,STS H-HCB-306N-96,H-HCB-306N-96,,,,131,,,3,1,0,
189-10572,STS H-IL-250-A55,H-IL-250-A55,,,,Pend,,,,1,0,
189-10573,STS E-CL-249-8B,E-CL-249-8B,,,,Pend,,,,1,0,
189-10574,STS H-HML-18-90,H-HML-18-90,,,,125,,2,,1,0,
189-10574,STS H-HML-18-90,H-HML-18-90,,,,130,,,3,1,0,
189-10575,STS H-HC-2-96,H-HC-2-96,,,,245,,2,,1,0,
189-10576,STS H-BML-B224-10,H-BML-B224-10,,,,133,,,3,1,0,
189-10577,STS H-HMB-406N-01,H-HMB-406N-01,,,,Pend,,,,1,0,
189-10578,STS H-BML-B124-10,H-BML-B124-10,,,,127,,,3,1,0,
189-10579,STS H-HMB-106N-01,H-HMB-106N-01,,,,Pend,,,,1,0,
189-10580,STS H-HMB-206N-01,H-HMB-206N-01,,,,Pend,,,,1,0,
189-10581,STS H-HMB-506N-01,H-HMB-506N-01,,,,Pend,,,,1,0,
189-10582,STS H-HCL-7-96,H-HCL-7-96,,,,161,,,3,1,0,
189-10583,STS H-HCL-8-96,H-HCL-8-96,,,,135,,,3,1,0,
189-10584,STS H-IL-350-A67,H-IL-350-A67,,,,Pend,,,,1,0,
189-10585,STS H-CL-181-2224-6/9,H-CL-181-2224-6/9,,,,Pend,,,,1,0,
189-10586,STS H-HCB-506N-96,H-HCB-506N-96,,,,119,,,3,1,0,
189-10587,STS L-CL-3-02,L-CL-3-02,,,,Pend,,,,1,0,
189-10588,STS H-HCL-6-96,H-HCL-6-96,,,,Pend,,,,1,0,
189-10589,STS H-HCB-406N-96,H-HCB-406N-96,,,,Pend,,,,1,0,
189-10590,STS H-HMB-106N-A,H-HMB-106N-A,,,,Pend,,,,1,0,
189-10591,STS H-HMB-206N-A,H-HMB-206N-A,,,,Pend,,,,1,0,
189-10592,STS H-MB-306N-A,H-MB-306N-A,,,,131,,,3,1,0,
189-10593,STS H-MB-406N-A,H-MB-406N-A,,,,115,,,3,1,0,
189-10594,STS H-HMB-506N-A,H-HMB-506N-A,,,,119,,,,1,0,
189-10596,STS H-HMB-206N-A ,H-HMB-206N-A ,,,,139,,,,1,0,
189-10597,STS H-HMB-306N-A,H-HMB-306N-A,,,,Pend,,,,1,0,
189-10598,STS H-HMB-406N-A,H-HMB-406N-A,,,,Pend,,,,1,0,
189-10600,STS H-HCL-10-96,H-HCL-10-96,,,,Pend,,,,1,0,
189-10601,STS H-MB-1,H-MB-1,,,,119,,,3,1,0,
189-10602,STS H-MB-2,H-MB-2,,,,119,,,3,1,0,
189-10603,STS H-MB-3,H-MB-3,,,,156,,,3,1,0,
189-10604,STS H-MB-4,H-MB-4,,,,122,,,3,1,0,
189-10605,STS H-MB-5,H-MB-5,,,,118,,,3,1,0,
189-10606,STS H-MB-6,H-MB-6,,,,108,,,3,1,0,
189-10607,STS H-MB-7,H-MB-7,,,,108,,,3,1,0,
189-10608,STS H-MB-8,H-MB-8,,,,123,,,3,1,0,
189-10609,STS H-MB-9,H-MB-9,,,,122,,,3,1,0,
189-10610,STS H-MB-10,H-MB-10,,,,132,,2,,1,0,
189-10610,STS H-MB-10,H-MB-10,,,,119,,,3,1,0,
189-10611,STS H-MB-16,H-MB-16,,,,Pend,,,,1,0,
189-10612,STS H-MB-17,H-MB-17,,,,Pend,,,,1,0,
189-10613,STS H-MB-18,H-MB-18,,,,Pend,,,,1,0,
189-10615,STS H-MB-20,H-MB-20,,,,Pend,,,,1,0,
189-10616,STS H-HMB-6,H-HMB-6,,,,Pend,,,,1,0,
189-10617,STS H-HMB-7,H-HMB-7,,,,142,,,3,1,0,
189-10618,STS H-HMB-8,H-HMB-8,,,,122,,,3,1,0,
189-10619,STS H-HMB-9,H-HMB-9,,,,Pend,,,,1,0,
189-10620,STS H-HMB-10,H-HMB-10,,,,Pend,,,,1,0,
189-10622,STS H-HMB-17,H-HMB-17,,,,Pend,,,,1,0,
189-10623,STS H-HMB-18,H-HMB-18,,,,Pend,,,,1,0,
189-10624,STS H-HMB-19,H-HMB-19,,,,Pend,,,,1,0,
189-10625,STS H-HMB-20,H-HMB-20,,,,Pend,,,,1,0,
189-10626,STS H-ML-17-9,H-ML-17-9,,,,161,,,3,1,0,
189-10627,STS H-ML-18-9,H-ML-18-9,,,,Pend,,,,1,0,
189-10628,STS H-BML-322-10,H-BML-322-10,,,,113,,,3,1,0,
189-10629,STS H-C-2-2,H-C-2-2,,,,396,1,,,1,0,
189-10629,STS H-C-2-2,H-C-2-2,,,,328,,2,,1,0,
189-10630,STS H-C-075,H-C-075,,,,272,,2,,1,0,
189-10631,STS H-BML-B524-10,H-BML-B524-10,,,,Pend,,,,1,0,
189-10632,STS H-BML-424-10,H-BML-424-10,,,,123,,,3,1,0,
189-10633,STS H-ML-7-97-01,H-ML-7-97-01,,,,Pend,,,,1,0,
189-10634,STS H-ML-8-93-01,H-ML-8-93-01,,,,155,,,3,1,0,
189-10635,STS H-HC-2-0-H,H-HC-2-0-H,,,,120,,2,,1,0,
189-10636,STS H-CB-612N,H-CB-612N,,,,69,,,3,1,0,
189-10637,STS H-HC-001,H-HC-001,,,,93,,2,,1,0,
189-10638,STS H-HC-3-96,H-HC-3-96,,,,228,,2,,1,0,
189-10639,STS H-BML-B324-10-A,H-BML-B324-10-A,,,,Pend,,,,1,0,
189-10642,STS H-HMB-3,H-HMB-3,,,,Pend,,,,1,0,
189-10647,STS H-HMB-13,H-HMB-13,,,,Pend,,,,1,0,
189-10652,STS H-MB-13,H-MB-13,,,,Pend,,,,1,0,
189-10658,STS H-BML-B224-10-A,H-BML-B224-10-A,,,,Pend,,,,1,0,
189-10659,STS H-HC-1-96,H-HC-1-96,,,,149,,2,,1,0,
189-10660,STS H-ML-17-9-M,H-ML-17-9-M,,,,Pend,,,,1,0,
189-10662,H-200-181-3222-90/9,H-200-181-3222-90/9,,,,Pend,,,,1,0,
189-10663,STS H-ML-18-9-M,H-ML-18-9-M,,,,Pend,,,,1,0,
